what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325931014602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325931022020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325931987563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325931988739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932917143
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325932918846
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325932919136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932921387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932927360
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325932928005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932933576
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1325932937579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932942384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1325932942425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932946789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932950254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1325932950292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932955462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932957285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1325932957323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932959879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932963286
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325932963749
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325932963861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932963951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932974484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325932982082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933040821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933063892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933123502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933125571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933132646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933133490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325933135557
