what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318650529651
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318650544818
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318650550176
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318650904280
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651182129
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651276141
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651278070
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651308759
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318651309681
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651310839
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651314089
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651316989
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651337776
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318651339610
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651346282
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318651353069
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651354436
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318651393065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651394494
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651397785
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651397820
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318651398817
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651399072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651399672
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318651399694
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651401606
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1318651430673
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651430783
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1318651432498
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651432546
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651459069
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1318651460164
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651484325
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651489460
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318651510878
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318651511168
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318651517121
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651518372
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651553371
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651554516
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651554804
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651554986
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651555355
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651562413
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651568728
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651573523
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318651578084
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651580484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651594700
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651596063
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617139
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617285
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617428
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617571
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617719
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617853
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651617990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318651618309
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651652002
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651654550
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651654729
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1318651654953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651659181
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651674020
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651677021
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651727464
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318651728347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651728809
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651729812
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318651729845
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651739811
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651740867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651748771
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651760893
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651761737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651766302
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651786689
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651787736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651788270
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651831343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651838636
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651840163
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651840526
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651843755
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318651855914
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318651862994
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318651871968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318651872340
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1318651874109
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318651874525
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651875188
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318651890770
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651895225
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651899077
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651900423
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318651915667
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651916263
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651935402
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651938160
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651942089
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651947925
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651957634
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318651962393
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318651963023
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318651965670
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318651965813
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318651966001
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651968948
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651969739
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651969966
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651970503
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651972911
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318651973917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651974178
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318651975256
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318651975297
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1318651983930
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651984575
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651985660
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318651986579
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318652015222
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318652028379
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652030955
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652032052
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652047813
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652049094
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652050058
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652059899
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652066223
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652095611
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318652104030
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318652104370
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652105161
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652106642
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652112037
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652178263
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318652182335
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318652183551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652185381
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652190219
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652193505
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652193695
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652196166
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652221243
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652226376
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652228403
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652231075
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652232655
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652247724
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652258471
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1318652282472
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652299354
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318652331123
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318652331266
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1318652331449
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1318652332205
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652335914
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652342951
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652347353
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652352141
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deleteNextWord",1318652358286
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652359337
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318652370743
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652373921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652376141
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652382957
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652385997
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652387180
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652388064
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1318652390831
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652392102
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652409313
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652417543
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318652434738
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652438068
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1318652438719
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652443678
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652444791
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652447524
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652447710
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318652448516
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318652450888
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1318652451551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1318652452999
